,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Despesas Fixas,,,Despesas variáveis,,,,Entradas e saídas do mês ( Total ),
,Tipo,Saída,,Tipo,Saída,,,Entrada ,Saídas
,Celular,,,Supermercado,,,,0,0
,Pensão,,,Gasolina,,,,Saldo Final:,0
,Exemplo,,,Presentes,,,,,
,Exemplo,,,Festas,,,,,
,Exemplo,,,Restaurantes,,,,,
,Exemplo,,,Exemplo,,,,,
,Exemplo,,,Exemplo,,,,,
,Exemplo,,,Exemplo,,,,,
,Exemplo,,,Exemplo,,,,,
,Exemplo,,,Exemplo,,,,,
,Exemplo,,,Exemplo,,,,,
,Total,0,,Total,0,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Economias e Investimentos,,,,Receitas,,,,
,Tipo,Investimento,Retorno Final do Mês,,Tipo,Entrada,,,
,CDB,500,,,Salário,,,,
,AÇÃO X,600,,,Vale Refeição,,,,
,AÇÃO Y,700,,,,,,,
,AÇÃO Z,800,,,,,,,
,AÇÃO A,900,,,,,,,
,AÇÃO B,1000,,,,,,,
,Total,4500,0,,Total,0,,,
